SKY,RUBBLE_2,SKY_2,RUBBLE,ZUMA_2,RYDER
ZUMA,RUBBLE_2,MARSHALL_2,MARSHALL,CHASE_2,RUBBLE
RYDER,CHASE_2,SKY_2,MARSHALL_2,SKY,TRACKER
ROCKY_2,ZUMA_2,CHASE_2,RYDER,CHASE,SKY_2,ROCKY
ZUMA,ROCKY,ZUMA_2,ROCKY_2,ROCKY,MARSHALL_2,RUBBLE
ZUMA,ROCKY_2,CHASE_2,RUBBLE,MARSHALL_2,ROCKY
ROCKY,TRACKER,RUBBLE,EVEREST,MARSHALL_2,ZUMA_2
RYDER,ROCKY_2,SKY_2,TRACKER,ZUMA,CHASE
EVEREST,SKY,CHASE_2,SKY_2,MARSHALL_2,RUBBLE
EVEREST,CHASE,TRACKER,CHASE_2,ROCKY,ZUMA_2
ZUMA,CHASE_2,CHASE,RUBBLE,ROCKY,RUBBLE_2
SKY,RUBBLE_2,SKY_2,ZUMA,RYDER,ROCKY_2
ROCKY_2,TRACKER,ROCKY,CHASE_2,EVEREST,ZUMA_2
RUBBLE,RUBBLE_2,MARSHALL_2,ROCKY,CHASE_2,ZUMA
RYDER,ROCKY_2,MARSHALL_2,TRACKER,ZUMA,RUBBLE
CHASE,MARSHALL,CHASE_2,SKY,TRACKER,ROCKY_2
TRACKER,CHASE,MARSHALL_2,MARSHALL,EVEREST,SKY
ROCKY_2,ROCKY,EVEREST,SKY_2,MARSHALL,ZUMA_2
ROCKY,ZUMA_2,RUBBLE,CHASE,CHASE_2,TRACKER
MARSHALL_2,CHASE_2,MARSHALL,RYDER,ZUMA,EVEREST
RUBBLE_2,SKY,CHASE,RUBBLE,RYDER,MARSHALL_2
MARSHALL_2,EVEREST,RUBBLE_2,SKY,MARSHALL,SKY_2
EVEREST,ZUMA_2,SKY_2,CHASE_2,RYDER,ROCKY_2
ZUMA,EVEREST,SKY_2,MARSHALL,SKY,RUBBLE_2
RYDER,MARSHALL_2,ZUMA_2,RUBBLE_2,TRACKER,SKY
